,LR_9_6,Em
1AHN_0,54.36299028587265,-343.5
1AKR_1,16.82982564860297,-310.5
1AKT_2,12.364256368955443,-297.5
1AKW_3,15.043840754834752,-320.0
1AZL_4,9.27058794444543,-316.0
1B1C_5,58.855889723756476,-167.5
1B1C_6,44.453976515141605,-167.5
1B1C_7,47.076956962657995,-187.5
1B1C_8,68.98500889435181,-192.0
1B4V_9,30.04455975671553,-131.0
1B4V_10,60.632711061906704,-73.0
1BUC_11,94.18851201274587,-79.0
1BVY_12,53.50247777314721,-203.0
1C0L_13,52.89008864053301,-53.0
1C0L_14,25.75114467939333,-87.0
1C0L_15,14.474856451485431,-109.0
1C0L_16,24.11966146372635,-123.0
1C7E_17,16.09642491415239,-302.5
1C7F_18,24.7951580978383,-302.5
1CF3_19,130.1524163358572,-64.0
1CNE_20,38.84571972647107,-230.0
1CZH_21,27.834111649560576,-321.5
1CZK_22,37.18398128043792,-313.5
1CZL_23,50.08102069084109,-332.0
1CZO_24,25.25214233055978,-321.5
1CZR_25,37.87796615528684,-303.5
1CZU_26,39.048703924171605,-331.5
1D03_27,47.042546533793285,-321.5
1D04_28,42.14153132642336,-332.0
1E0Y_29,35.86451917021695,31.0
1EVI_30,65.19077761801928,-200.0
1F4P_31,19.239308710847176,-302.0
1F6M_32,40.31723670481112,-270.0
1F8W_33,39.32285358833828,-261.0
1FCD_34,133.3903014840924,-26.0
1FDR_35,133.38398575769952,-288.0
1FLA_36,22.587660317072466,-267.0
1FLD_37,36.20202586962917,-295.0
1FLN_38,10.283816812732217,-257.5
1FLV_39,43.056619562181595,-352.5
1FNB_40,65.96858675979801,-380.0
1FNB_41,53.799937950036494,-342.5
1FVX_42,15.530421676056083,-267.0
1FX1_43,40.9868672701525,-265.0
1FX1_44,18.233132472602403,-291.5
1FX1_45,29.25799301512776,-291.5
1GAQ_46,72.50649647476624,-370.5
1GJR_47,8.746728608693706,-344.0
1GJR_48,11.015602267689918,-317.0
1GJR_49,17.94002462834887,-376.0
1I1O_50,79.54550341506668,-223.5
1IJH_51,231.60204553013335,-354.0
1IUW_52,63.57323743709774,-163.0
1J8Q_53,14.177665441378071,-291.5
1J8Q_54,19.313734640112735,-293.5
1JNR_55,83.94208026461571,-57.0
1JR8_56,64.41560691104951,-200.0
1KF6_57,80.53818108534806,-55.0
1KIF_58,17.12242793541782,-185.0
1KIF_59,40.548527019277756,-151.0
1LDC_60,100.38095520456652,-68.0
1LTD_61,92.09015827815719,-90.0
1N1P_62,55.29365693632168,-73.0
1NG3_63,241.26803838799333,-298.1
1NG4_64,316.9249531235856,-359.0
1NHP_65,70.55007073655312,-197.0
1NHQ_66,31.014799333484472,-219.0
1NHR_67,21.65632003332132,-235.0
1NPX_68,88.75086043436463,-312.0
1O97_69,172.03344145790066,-0.5
1OBO_70,21.059335288207684,-339.0
1OBV_71,34.10522712784074,-311.0
