,LR_8_3,Em,GPR_8_3,KNR_8_3,SVR_8_3,RF_8_3,XGB_8_3,LR_8_4,GPR_8_4,KNR_8_4,SVR_8_4,RF_8_4,XGB_8_4,LR_8_5,GPR_8_5,KNR_8_5,SVR_8_5,RF_8_5,XGB_8_5,LR_8_6,GPR_8_6,KNR_8_6,SVR_8_6,RF_8_6,XGB_8_6,LR_9_3,GPR_9_3,KNR_9_3,SVR_9_3,RF_9_3,XGB_9_3,LR_9_4,GPR_9_4,KNR_9_4,SVR_9_4,RF_9_4,XGB_9_4,LR_9_5,GPR_9_5,KNR_9_5,SVR_9_5,RF_9_5,XGB_9_5,LR_9_6,GPR_9_6,KNR_9_6,SVR_9_6,RF_9_6,XGB_9_6,LR_10_3,GPR_10_3,KNR_10_3,SVR_10_3,RF_10_3,XGB_10_3,LR_10_4,GPR_10_4,KNR_10_4,SVR_10_4,RF_10_4,XGB_10_4,LR_10_5,GPR_10_5,KNR_10_5,SVR_10_5,RF_10_5,XGB_10_5,LR_10_6,GPR_10_6,KNR_10_6,SVR_10_6,RF_10_6,XGB_10_6,LR_11_3,GPR_11_3,KNR_11_3,SVR_11_3,RF_11_3,XGB_11_3,LR_11_4,GPR_11_4,KNR_11_4,SVR_11_4,RF_11_4,XGB_11_4,LR_11_5,GPR_11_5,KNR_11_5,SVR_11_5,RF_11_5,XGB_11_5,LR_11_6,GPR_11_6,KNR_11_6,SVR_11_6,RF_11_6,XGB_11_6,LR_12_3,GPR_12_3,KNR_12_3,SVR_12_3,RF_12_3,XGB_12_3,LR_12_4,GPR_12_4,KNR_12_4,SVR_12_4,RF_12_4,XGB_12_4,LR_12_5,GPR_12_5,KNR_12_5,SVR_12_5,RF_12_5,XGB_12_5,LR_12_6,GPR_12_6,KNR_12_6,SVR_12_6,RF_12_6,XGB_12_6,LR_13_3,GPR_13_3,KNR_13_3,SVR_13_3,RF_13_3,XGB_13_3
1AHN_0,43.2384332718032,-343.5,83.04962701508728,50.29153527647874,88.90292610823357,61.68284721495661,57.64816741943359,30.905543289636693,175.5236460695761,40.9414472036179,122.0516507433027,69.6457236077338,55.03323822021484,36.76472443200206,172.67936527990824,49.088635990508735,113.40721294551761,47.36259296464546,46.08102569580078,48.67883179141271,152.93199464816712,38.96771501266131,86.85325669742653,63.21243052492487,89.85305480957031,24.558212102209048,51.91352921767341,31.59825962452848,55.20296544031235,68.56743730093196,49.36163330078125,33.978710750376486,199.75664924334114,47.65235096908667,129.50143723344954,77.56464311401494,52.9451904296875,29.207970290620278,189.88323636940584,57.80815232986085,119.53181392984322,56.11502440960878,50.301107788085936,70.65390709140607,185.25746050765397,39.8631698595791,108.60292852265039,68.24048074470988,72.32879486083985,21.35226587360229,78.58425651827675,24.213100080155264,67.01345958031841,68.4291435931289,49.983453369140626,31.250664194894387,183.65747632868852,40.918193236733124,107.73285316349434,70.08415962177432,53.21598663330078,28.218171126484258,185.89323137612638,46.120253753990156,113.55064363498082,44.986630072941885,38.86076049804687,28.093327560965065,169.77581402972544,52.490691751032784,100.59324726476055,67.839658450413,61.57188415527344,23.182505036059887,60.38965334349102,31.748457963456314,78.3160177243185,65.77977078796349,62.32236022949219,24.045794339770005,180.2552621247907,36.538674163635434,119.79089430622189,64.44855874804496,51.55774841308594,36.982136386860105,162.67555292297862,49.014111091961546,105.12559773961866,53.3862124094519,43.90528869628906,26.79566378764382,161.59363276778842,32.91006881880811,89.48256809969328,64.9912641843645,65.77197723388672,25.663877950987633,52.67423558672749,29.939921682184,67.33124935640907,55.621145409507605,41.027113342285155,62.1087206505383,156.76866508214502,52.48414220957907,109.58191062713995,51.911663060072826,35.553366088867186,63.34388213214315,166.07631489379645,43.311270295700936,100.00477731586007,56.61506839070453,36.61051025390625,41.75198159056201,155.708085294932,33.13204782506138,101.25359466234828,60.33148847544544,49.621435546875,12.787796764003371,76.4003801981863,36.0427219877542,91.6584874905705,47.18932581062652,40.438934326171875
1AKR_1,17.152949546140604,-310.5,12.382027635026128,8.804762953679386,16.595617884321836,32.288451459640235,28.871585083007812,25.196221971431584,6.423249751213279,4.465522382763612,6.691438409654876,20.534968743399826,15.349789428710938,29.28620514985436,14.326442297427253,8.294370888194436,13.279929395079984,20.517232231376425,18.075747680664062,17.269137194688625,9.140677853070775,4.847206248403927,6.158684255096131,21.75830464880179,16.891668701171874,9.64313638900266,8.926457416458732,6.425404281877741,9.256852814381483,36.920783906270735,23.741845703125,25.022412629504743,6.099891035199795,3.8506994350087043,7.201128623934761,18.962700891642243,14.734245300292969,19.20004621913168,10.758379765914725,6.851369953633144,11.533664329898357,19.514779295192092,9.108197021484376,20.541031094807494,8.721644988472496,4.515019018640777,12.272445924515091,21.350327111457695,17.49537353515625,12.062816479467084,15.611054260908077,4.36141174395654,15.861393314635432,34.88107617148465,26.746121215820313,24.70823127534434,5.060090502931365,2.7167149049974455,7.334020390493481,20.94914150163961,6.9418701171875,12.873941606439763,9.751134600224475,15.401969450283229,15.784019638338203,17.087938552824205,9.71705322265625,25.135525405919044,5.364223547705689,6.053860998442422,10.856354947637692,22.257352327127204,11.11600341796875,15.046341319311711,13.650904220949917,4.974548209236747,9.69488453071104,35.0895850123011,26.2972900390625,22.330355194066886,6.944823723944995,6.547808698129382,7.350424256430114,23.449310547821945,15.693637084960937,18.520813309608826,11.066195975401195,9.029756230568335,14.04749639086973,22.18701955910344,15.525198364257813,15.339040612060307,9.15871725893823,3.8353221330618283,7.527480126287315,22.63915575810991,10.778192138671875,17.080727672812372,11.720950476005168,4.252134116396348,12.50757538741011,25.935005027355164,19.695352172851564,12.811669348604955,7.334339126986907,3.4529632090451856,8.339031092898745,19.064782069672276,8.132290649414063,11.854553249322185,12.113615041452482,9.142261396058576,14.203836240192306,16.816950122173733,9.332009887695312,19.135240944822442,6.298813960079821,5.171365945138308,8.55893695149249,17.109402646812992,9.924713134765625,10.858854766066617,13.163457189975498,6.055068423842568,13.402438172220467,19.645807887299554,11.017279052734375
1AKT_2,17.50042924124829,-297.5,15.616646971392736,14.010547382109417,17.8371745460096,8.569974615181849,10.801809692382813,26.656586560631204,11.372632254113148,11.936147707175001,14.078131457829318,8.190042171703174,7.547943115234375,41.007502301654185,11.787677533719028,6.750250049262268,10.775247378116916,8.022556512979872,14.976425170898438,15.47043327977849,8.305988430451588,11.27035874931168,19.84742002265629,8.710154452238191,14.680839538574219,25.030115123722375,8.246077478870893,15.5648980778985,10.030464993447277,10.58306262034436,10.9367919921875,24.63026778548181,7.929743893717239,14.245332054844493,16.53769003954459,5.874651370543989,5.355029296875,23.674466706423097,9.469556328075829,7.7596508046924555,11.457903401834546,6.538386655470577,14.924836730957031,17.30860035026073,9.373954397090284,11.286717922603117,17.465533852454087,8.6195831447743,10.363931274414062,22.169935692147035,9.041967431266675,13.948547034487671,12.733201578022852,11.075713195704003,11.347006225585938,33.11634942222776,10.285311424253063,11.773891595236638,12.860888374613932,8.292708964328721,6.523745727539063,21.859379936169226,12.941644404468315,5.925333391475641,16.248709913418686,6.828099662409892,12.684375,29.086197315291418,6.737926291309253,12.300107367967888,14.931338198789536,7.093489304428971,11.893545532226563,15.221806899255444,11.57234981823197,14.128622386200561,12.067131291373892,9.192155865750873,9.367947387695313,12.873535428542118,11.089375098182307,10.015037992136381,15.210201501465964,6.8893764468245475,7.653176879882812,14.300612859126772,9.728435906107517,5.978069287581389,11.888830180201984,8.752272817640721,9.04901123046875,13.305057974176055,7.208655242539902,11.796932022995879,18.29511621210232,8.19570334224125,7.471600341796875,9.665913118327842,10.930835433446612,11.592624631896262,13.569440828105275,6.892537005259925,11.766842651367188,22.838821396113957,9.303357884498137,9.887696285426301,18.76149142903793,3.982455468833001,7.62274169921875,14.431251267108848,8.835708423285325,8.747886042702925,8.198744673476648,6.619133651699855,14.510675048828125,22.633187366418614,10.043132466314768,10.415179607600152,24.214356749508312,4.761146826062657,12.657513427734376,7.342025414213867,13.177988041364307,18.647385725240746,11.98689564145368,6.6853111300325505,11.946267700195312
1AKW_3,21.4956444671243,-320.0,16.748484033078917,12.874552476294065,10.772145851631137,37.14657131351747,9.532296752929687,15.127487752680628,15.885770371055736,11.027017408070503,15.767204748140506,34.815059144834834,14.561837768554687,23.033618605087895,21.128131366848635,19.05078054352296,16.784652214152686,43.75590168465826,27.769961547851562,16.76689660604891,13.049291441786693,17.79399418651169,9.53137314388539,37.13433232816034,15.2378173828125,13.011042240833058,16.504354911943768,14.632941727649603,10.243983364502203,31.748559114713583,7.147525024414063,14.177978196444325,15.944225080692723,12.392946687218217,15.206966647280746,26.329937903448034,10.995895385742188,18.8222226938258,16.63372113766481,16.54045627841751,16.881707976354523,18.598433671101276,13.00772705078125,11.320944709906296,14.56015600372333,13.776686060219527,16.054441654985954,26.520125872589727,11.627755737304687,12.849118668776976,12.003265089245962,10.682119685791388,10.179869065603622,36.547509868193366,9.16888427734375,22.097445229579325,17.808701130058658,12.402945832860308,13.629776271845923,32.64616734600227,16.810263061523436,10.489222319649912,16.342307911488803,22.9270072941122,14.266144257968136,22.222562157259215,11.10828857421875,23.844116828224486,14.502786558212529,13.896603182600677,13.431268801776145,31.423114570239505,9.981417846679687,12.0083969335973,14.775224644718111,15.794750071458378,11.08852859231926,32.009247604462026,8.893490600585938,22.73307781776552,16.98629829801527,15.828268565963622,15.081856348112797,27.709551428099708,10.630477905273438,9.412318941583612,16.06991553635308,20.91275955466499,15.35924325276286,19.436290798261524,10.320550537109375,13.702625982475126,17.27044096179016,14.15476669197498,11.140276512478385,28.284970996034694,17.28801574707031,15.255982000822872,15.910836892258795,15.487657281314108,12.64999965006487,25.505295428023448,9.383609008789062,15.147279985277066,18.182786810486668,14.580894183047599,14.743557822695953,24.618268104292547,8.727734375,11.751221777530276,20.00210478542916,26.130910949127514,18.34535893604625,19.957661421039365,9.17156982421875,7.909601915931131,16.382438147259496,14.798163989596565,11.597338286025831,25.39437678036679,7.3368988037109375,10.712995161893764,16.24992160168935,11.885433007807274,20.999071127502003,24.71821547528787,8.0962646484375
1AZL_4,12.024626598408338,-316.0,16.099080513492577,12.531391286133964,14.689056039210442,27.763007864331815,10.88095703125,23.694278318243704,23.005100413502454,7.530161682972261,5.069344271832688,23.486609217034903,10.504205322265625,17.445310607390923,33.16784698046014,14.451939083784254,14.585210671562203,30.071629126554775,26.726242065429688,9.664775160207375,13.784206069269192,11.336274706771519,7.885858298714595,26.237626211446212,12.301947021484375,7.897389105608522,10.08288873635434,8.885618581803419,4.361367472753836,26.660540538896974,8.4342041015625,20.427106417941552,21.335952233531437,6.578781457125143,9.72602704582,20.236320703194174,11.542880249023437,18.185951925327295,21.185810886176505,11.060843629612332,11.168859396399274,21.30633862632855,14.568289184570313,18.020229587583305,16.550408596596082,9.173088541170534,12.887216716165682,23.040272599296024,11.328106689453126,10.219236215711163,9.321237342161037,6.840836553643186,7.8502238211426345,30.764265147611695,10.717190551757813,9.934852376891394,17.500874868714902,7.949799201423195,8.305950487256945,24.210216644213034,9.597882080078126,17.62927715961277,22.52704997812691,20.21291987307015,12.772707246060794,20.906613858322174,13.871951293945312,14.825191976632539,14.951509331363889,14.94765591814596,9.511009101974434,25.43323644264612,13.346649169921875,6.712169776620419,8.03841643764149,12.804271680147986,6.90038757431131,24.973317497036938,8.315927124023437,7.403571441759908,25.51578904587878,10.804138002530731,7.3667718824356765,22.344736931969567,9.958135986328125,8.914525067441934,26.734717556537277,11.917450876678975,10.013859350506886,24.22777349644203,18.151779174804688,10.163296983060103,17.77877137706742,10.501937217862741,5.379517576063802,23.370602945414248,14.917459106445312,9.040056606295883,13.493093975181608,13.17476180882448,5.665877453972456,20.059847640204488,8.818978881835937,13.943027516411751,25.374717977149647,10.472949836192033,5.32390568183842,18.427683649163736,9.180557250976562,9.261594722207695,23.85750004399223,14.462252516254342,5.923041674420352,20.971918113987225,10.461190795898437,11.211481335809628,22.820644408165627,10.09557264301868,8.88427666667738,19.049656760081128,6.3247528076171875,5.64261005820934,18.009092177906602,14.112488124422276,9.596460729259586,18.015628493772596,9.228421020507813
1B1C_5,31.17942754532214,-167.5,23.5044884050365,16.15310273344207,14.122243310415186,39.32746926178563,15.102685546875,87.24202696664996,19.63729744396458,21.20305464231293,22.785116453089373,43.56409313214143,11.254449462890625,62.009772370518775,35.12320878916557,17.097630109541775,35.018828777844796,33.42392369074933,12.331480407714844,69.39570393746784,18.934961974450143,16.846881598091386,16.67490748827367,45.60340504102357,12.008395385742187,27.57939881286285,25.62626318741416,19.970545907725292,14.299950157684975,42.07752706386948,13.534303283691406,80.09228899740486,24.45961552036542,17.534102763479304,17.930645171909777,37.995459993307804,11.437564086914062,65.93285741847329,30.01177716715012,15.663539295615474,22.87730411525758,33.94036761991665,12.160446166992188,68.53951562478296,25.75550438841043,18.792807930001025,17.103179807421395,43.68312543774782,8.703663635253907,25.44580418132115,24.950820631182886,15.576418878110655,11.281270194951404,43.76742374081816,14.168836975097657,77.817907819947,16.40254393162665,16.143446981529852,14.931940106407168,41.06933940824947,11.280157470703125,60.427657883242816,22.34405475200969,22.436767212334747,16.873333260335286,31.993232526712394,13.391999816894531,66.3055638042737,14.520688161328824,20.32366055041327,15.1739136276192,41.80342719091849,10.609945678710938,35.35627462376664,21.864853848813983,21.836757034320904,14.621470686107532,35.171419917800335,10.464663696289062,87.50421754101006,21.641801736170578,20.544367887538392,26.60369480999035,37.478356260824135,13.649676513671874,74.71429814078888,21.8911784069906,18.491304794999728,34.47851896582955,33.03848294568054,16.21866455078125,64.34141597951722,22.21347762377372,28.70405787805919,15.982740118139029,41.28401490724334,11.413143920898438,37.37334241828263,24.61319535984621,13.600000776802858,15.41655413767092,36.18959927024853,9.016213989257812,87.308901618222,29.9142069197257,17.43475660169839,25.001273170364502,33.31133088676353,11.077886962890625,77.99712817090669,20.087420948186153,14.078028595947547,17.770244143373183,31.590240502728413,12.213957214355469,82.66611748732514,22.046353536132774,17.109378902627892,19.58299509768626,40.28109455065184,10.578025817871094,40.03591994656702,27.991274215622518,21.73741129386406,22.581029108134874,32.36765549598631,10.158163452148438
1B1C_6,17.360029724871357,-167.5,13.58313176598412,18.36396137895534,11.486134418510696,43.00788523847534,7.199290466308594,108.22669866669101,24.17056834318688,22.412625139359058,18.142559792006036,44.06063519299937,7.488899230957031,53.08989180950027,28.13729823007003,17.93552021496588,35.39601496061614,35.685713529900475,9.047212219238281,64.07870889002407,24.507509752780983,15.415720677342211,20.00719064148883,45.912990436752544,4.8015899658203125,12.938694570187616,12.987248136510283,16.666703049183685,6.884859583358579,42.083244814154625,9.007417297363281,90.24996950033017,15.208389987585928,18.746541927980623,12.712414760752363,45.64902732195279,9.120947265625,42.99327909869561,24.802183311888,22.492608991226625,26.350346508119834,32.68780946338203,11.293901062011718,62.78842041037708,17.859855190349077,16.320477131230973,15.175049460285104,44.89085125796347,8.595306396484375,12.549327486062348,9.843126852138502,18.30725061862081,6.0570042972092555,45.075294569736705,11.584353637695312,63.61801978843182,14.268115949103892,12.360344936034087,14.418496479480286,43.51432480078297,8.586793518066406,50.49166196997733,17.011385027360067,14.52614648374271,16.48412906391921,31.7211364046698,8.244905090332031,49.57852826907936,13.87114008088236,30.919711474211955,13.186323272099482,44.37279391702541,7.516473388671875,17.588216206466356,14.438746019861616,27.917338285503945,7.5217083065553085,39.257738587328745,9.274406433105469,79.20897654451417,21.897365425565347,12.971219101269346,27.546534612610778,37.76222536337828,7.222589111328125,65.48965221237029,19.145124882840953,18.12777356547994,28.213577202799343,36.128088166185606,9.818313598632812,58.00663725672358,19.449450765022835,19.88478983331398,15.784363668473052,43.632798763387015,8.676106262207032,22.055515069065414,19.422285027598154,20.712476250341005,14.729380447533908,37.5066195713502,5.431892395019531,79.21014620836668,26.43980031083015,22.050352841185592,24.25894827625448,36.71532982549805,5.89422607421875,64.50942052742569,21.18711249800331,11.378907660747108,29.62787682581951,35.11331848834707,9.510887145996094,89.93231836083535,21.11366088073381,15.436443848752376,20.77858215720409,38.84739225697492,5.741169738769531,26.43181528584692,18.28811882096736,23.708891225183464,18.48439617109631,35.52262045731288,5.860348510742187
1B1C_7,19.73317771182125,-187.5,5.221332851223858,8.792518479027013,9.441906762203939,15.509198710976573,5.574505615234375,75.64269075430107,6.437096727224221,10.600710475277486,12.562610187034025,13.299177866419418,8.919169616699218,48.67028861578042,6.504892604196326,14.323203780942583,30.403109639966164,10.57710272549198,4.9747772216796875,48.144956295334225,16.825282810404293,7.945633919649671,18.79919810131486,19.426457392090306,5.401393127441406,15.584541179996203,6.133303780081491,8.394017005410912,5.552554174093871,19.42582236649408,6.702012634277343,67.17008521405127,7.709616887832763,10.265188662384674,13.84089305350347,15.27185436572447,4.1079559326171875,46.9942916231186,9.573829572903165,18.36974079621929,21.67187347997049,12.398009098085371,6.011651611328125,50.38262331825125,9.846421870773426,8.240423251936772,15.932295582969875,19.412868388672493,5.752346801757812,18.232300357570434,6.570695551931218,16.717622673981044,5.7844874380147075,20.049028640054168,5.17020263671875,60.724445335034105,5.598383342083347,12.241666666666678,9.314217077706697,13.023045028730854,6.568089294433594,54.14311336802901,5.767111170643323,13.711666666666678,13.404474606394004,7.021260660150287,6.53153076171875,41.530616877241,4.892745097861623,17.461271018821215,13.322863715149385,18.854738514080914,6.632170104980469,21.730486827973344,8.119174095880078,16.388049829121577,8.335596958327386,11.479758862213341,5.9859771728515625,78.16058340287823,10.739016813043614,10.018628064725073,14.04344428933158,9.05573755958317,5.869828796386718,64.41246816891433,6.146692597677242,13.223330295231387,16.476787754155403,11.287889868736139,4.840928649902343,57.43112382383479,10.724954614329283,10.705083325445198,15.429890694341703,16.14247625097282,5.082118225097656,21.509267852085184,9.6549229524081,17.475000000000005,8.3435748689706,10.57442721489941,6.613124084472656,68.89626044180582,5.894695472758906,12.817688063078018,11.886955760462106,9.07854925995683,5.9808197021484375,60.8103279976938,5.850867404633942,12.861390651870039,26.479891608592748,9.615528156182098,5.9073944091796875,64.47032555287248,5.557480870784571,10.757928444334087,12.226651571602195,12.206203170558206,6.780815124511719,26.534819186723535,11.36673981926317,16.919725904806153,8.871109832370214,6.3416507458532205,6.941497802734375
1B1C_8,33.74288121419985,-192.0,4.769982326549337,11.700366285207142,5.016116750449624,16.934618342000025,10.910250854492187,95.78874764007894,8.808050935914059,16.008217075132467,17.031745870668882,17.35609387036152,8.915512084960938,65.49296662436129,9.42608950939225,11.19403782128868,30.10394154073571,14.10127581531664,9.172421264648438,65.88035679991467,15.256592164236668,11.539643405771818,14.918139679709904,19.925740973201307,6.981045532226562,31.11671607773378,21.355625167011873,9.978530198328698,11.362429760923922,17.69162248023378,10.081800842285157,91.46892628843872,7.945909323499595,13.93130436584868,16.89427807801637,15.366427465409263,7.9417877197265625,56.26111276648045,6.850768226710727,11.33121692571344,11.71903081515932,13.758056316369283,6.831819152832031,72.90672563023665,11.071618239327993,11.908599983698409,14.467673127052384,23.33718125094478,10.138050842285157,25.414052959333365,11.724095218466354,14.14257027455903,6.663865974592127,18.060588561055045,8.674098205566406,88.31401505734267,7.3744196002168705,13.844465882111987,6.459252675767999,18.691362291986664,8.775175476074219,76.30294758273251,7.6973103493721595,14.835250950255404,8.007289672601521,10.463183506805716,8.99059600830078,70.40305593470478,3.762274111705321,18.520922750548408,9.839363199410553,20.481512947147927,6.989250183105469,30.295674134132184,16.92566272251738,14.231421674998355,11.601107280154249,10.114564025093463,8.039924621582031,99.1395480143261,13.533452602146118,14.326167573359248,20.196636736463535,12.485005128272348,10.981871032714844,76.0286271420432,9.51424495832651,11.452683888811634,24.52867092607027,12.796161289335185,7.710176086425781,67.11380764101412,10.123807808722503,23.07892653632197,13.58862932398992,13.390373888454931,5.842747497558594,31.74796630406572,14.004674702568527,15.5944674336834,10.7111680341106,13.82310454038774,9.215408325195312,94.68795873677577,8.770520649992614,20.51514879750321,15.306558374159447,11.852268748855588,10.01532440185547,75.20007407005792,6.478417079394783,14.984487544590547,12.608330030238204,9.18410000917667,7.870401000976562,76.85352002016035,4.708165743206473,14.001142605390502,14.762994228146358,11.490248290673069,8.981121826171876,41.42119356367789,17.513224392068842,13.581654126223592,13.193169485852405,10.808373059100685,9.889044189453125
1B4V_9,65.57711137133035,-131.0,118.98321519306612,132.99678746237154,65.76972470213227,44.26927980551646,68.76048736572265,29.789130012349705,62.72550919071864,63.18010299771477,55.22038609891375,28.570121384859455,53.39037399291992,36.897203503910205,77.0524213451632,99.2806730550056,41.87584048685538,24.720079274540417,49.110678100585936,47.67205777663421,74.24011614726564,98.66039791433181,47.5266579118197,33.55606184047524,46.949336242675784,61.8427390537323,105.93063289481363,127.6887089133616,73.81166838550915,47.052159516244984,98.7022605895996,41.626862298436464,85.60958421608737,81.22163015293023,52.93772006720616,29.40057589959748,59.73940887451172,54.27323353494313,84.35605062184236,103.91294349554705,45.003728745025725,25.61236627641812,45.654241943359374,65.9592763158915,92.16401972339295,107.02310384917796,66.07194954052785,34.46824240137638,68.46034317016601,66.46345728450355,116.50727166793793,111.19623197411586,67.9314532016928,45.55198516381891,110.26428909301758,74.76094455768725,104.02107865750763,109.69472541649051,73.35747169768237,30.881992388462095,56.64118347167969,75.5698097653718,121.23294067653717,96.39835424309368,73.7146519228692,28.54562297003698,47.82827377319336,92.94501777306547,108.26726277246712,119.10396355398457,70.37511019142121,39.203775558371426,67.51618423461915,93.57481341598371,99.95231338047498,116.67502157558968,68.079290095991,45.400879018978806,102.26215057373047,94.38500926897358,69.55498742277692,63.12415814097777,60.07502186358873,32.244749340093215,47.90002212524414,98.66178158217376,103.26414621444425,107.16167531971946,83.96218589815196,36.99903803179126,54.90937881469726,108.55247988234143,91.3400325302454,104.03016105848262,74.05615769419862,36.7752364602424,77.57776184082032,92.88986975688837,97.95690404040506,88.84347751404496,76.48365991048983,33.63691161822207,46.846256256103516,77.90838323711867,86.10182175969169,52.41388048995998,55.950413269129214,28.96856260859935,36.702422332763675,73.75958788884108,91.08714132000112,81.14948550414488,42.90609533106475,30.230501807654388,38.482077026367186,81.20488678016154,91.92828812003351,76.92882316602636,62.95267955611047,30.689705511177515,42.32439270019531,62.11704867636256,88.8199368600802,119.58605021290127,59.47437738547588,56.1901534534451,68.34307708740235
