,Organism,Cofactor,reference,Em,LR_8_3,KNR_8_3,GPR_8_3,SVR_8_3,RF_8_3,XGB_8_3,LR_8_4,KNR_8_4,GPR_8_4,SVR_8_4,RF_8_4,XGB_8_4,LR_8_5,KNR_8_5,GPR_8_5,SVR_8_5,RF_8_5,XGB_8_5,LR_8_6,KNR_8_6,GPR_8_6,SVR_8_6,RF_8_6,XGB_8_6,LR_9_3,KNR_9_3,GPR_9_3,SVR_9_3,RF_9_3,XGB_9_3,LR_9_4,KNR_9_4,GPR_9_4,SVR_9_4,RF_9_4,XGB_9_4,LR_9_5,KNR_9_5,GPR_9_5,SVR_9_5,RF_9_5,XGB_9_5,LR_9_6,KNR_9_6,GPR_9_6,SVR_9_6,RF_9_6,XGB_9_6,LR_10_3,KNR_10_3,GPR_10_3,SVR_10_3,RF_10_3,XGB_10_3,LR_10_4,KNR_10_4,GPR_10_4,SVR_10_4,RF_10_4,XGB_10_4,LR_10_5,KNR_10_5,GPR_10_5,SVR_10_5,RF_10_5,XGB_10_5,LR_10_6,KNR_10_6,GPR_10_6,SVR_10_6,RF_10_6,XGB_10_6,LR_11_3,KNR_11_3,GPR_11_3,SVR_11_3,RF_11_3,XGB_11_3,LR_11_4,KNR_11_4,GPR_11_4,SVR_11_4,RF_11_4,XGB_11_4
1AG9_0,E. coli,FMN,https://doi.org/10.1046/j.1432-1327.1998.2570577.x,-350.0,1238.3785935248268,454.8349320921559,761.6965827282039,859.0774791158663,760.6919723372329,46.90340881347656,897.7265287448281,381.38890679585313,415.0649759443056,411.5162838185394,548.8880604599203,36.30199279785156,1010.3421243873711,384.30107785650284,528.2206132962206,602.147855227772,654.075533234666,49.98448181152344,956.0846960486563,341.15700547323576,459.76739146117364,330.03777401742684,653.7343555461139,25.46748046875,813.5155070117569,396.4207505023815,743.8568527381009,878.839526612863,816.4079729804929,45.62344970703125,298.7467221762947,677.6329592126863,356.6322950471524,461.0331729624948,581.9128654214335,23.34373779296875,362.6708686360614,418.65940096793435,484.16510367009914,618.2257690475492,664.98421157039,39.552947998046875,565.0543416982474,406.9559620528317,347.45782337031346,478.6349280556117,634.954645734491,24.244232177734375,1271.5950324806986,499.12517722070413,813.7334745998389,930.8856200045796,700.3022244708275,54.31894989013672,1014.9703401520578,479.24759065613847,406.6563624116898,455.77786864021243,527.9613069688933,31.225849914550782,907.1113838244532,561.0283550163796,608.7232533620738,715.8390024257192,636.8354868718665,45.099639892578125,855.1471054263949,769.5833388786045,338.16279874221044,329.4306343175729,642.3367858168584,28.30780944824219,1253.767565269655,508.46655746536703,815.3937232388357,790.5408126153254,747.555540108619,46.39722595214844,871.0832259796055,436.74201169599496,347.4697864581744,334.8403662255795,547.5160291323175,26.50592041015625
1AHN_1,E. coli,FMN,https://doi.org/10.1046/j.1432-1327.1998.2570577.x,-343.5,403.7287964421934,157.24505554391453,1018.371185742583,825.0389986131535,554.5826570836518,51.63935241699219,683.3715718919409,163.02322888548835,875.3935169882546,504.86886342831764,543.6775782528986,31.3360595703125,1242.1454136071513,259.29487946026995,992.811140642963,561.8948865293348,588.608657287585,41.42194366455078,842.0186679426154,215.91865836078654,895.6028387862657,473.0884125705424,619.278079951582,29.512112426757813,199.43016838229892,404.40120769687644,1189.1722239383628,847.7314176630468,666.1801615566358,49.75520782470703,511.539897205993,589.4324220452742,935.5546076361993,517.9301412256254,607.9746065341034,27.677523803710937,1050.7236595303302,615.0122774277252,1006.7371057034234,903.3981971990528,647.826536817463,63.077947998046874,837.7703366202439,414.23076266562174,894.6882188420029,502.5440673287896,684.0726028502813,27.971807861328124,721.8199557652258,314.94273790700737,1068.5352930517074,771.4243915550313,646.5030264453208,71.74005889892578,970.698875182809,319.40954730001425,841.0494370865318,352.28590534606656,567.1016420742835,40.195986938476565,1444.4279077419485,445.13048057573934,991.5923763245166,621.7055717410309,532.1770279521631,55.2531234741211,820.1576382720893,362.4281973227592,862.9422010186386,429.0616301552118,663.4102262954561,43.690496826171874,483.4353076928734,142.35209612725885,1093.9274217576894,767.2912848950646,645.5368704468033,61.19370727539062,841.5395929850033,160.82454487686255,879.9308684602206,327.511762773099,617.6768463335113,42.08323974609375
1AKR_2,Desulfovibrio vulgaris,FMN,https://doi.org/10.1021/bi973193k,-310.5,671.3306397007208,28.458001713582007,377.01814471168944,224.86218641122963,594.5402048551916,50.049748229980466,330.95019538258293,40.617176653554225,70.20082136689354,82.53019851603983,152.12218558332438,9.130075073242187,674.3908843980884,28.08593318964182,179.7401734801848,134.64261671943495,235.9701575074426,15.2019775390625,143.296509687811,38.546358116676515,129.4333015686086,119.27652183160592,234.35153949050778,14.32518310546875,397.7899968532308,33.636116855547925,377.3970431740272,188.4881910087757,508.60530333004465,32.698583984375,321.3898513388964,14.585195585107044,131.09635906398688,107.34782465250248,168.35206688624464,13.352978515625,110.33799740678438,26.67397497714063,236.85329692875513,86.74816949848105,209.13523667284426,12.198489379882812,123.3715286409174,69.05810842642381,185.522278819277,64.97147986289258,228.94658915413947,8.957122802734375,527.4068885695983,40.088688687674164,320.8371797086395,165.23150112052264,559.7374875240689,25.208036804199217,510.4018728752361,26.979459029259374,66.63228899417953,80.78625508854338,213.66199059476332,7.703985595703125,205.28587104010734,37.901419922366586,119.89011366478809,123.16136075325238,177.2219887923796,12.5027587890625,137.63904580107413,61.474630232443985,79.19635616967543,81.44459646052832,246.29282789270098,12.01978759765625,406.6597719235896,32.392477916399116,378.07526689315813,238.91916676171877,555.7573050611204,27.245040893554688,567.1761373572915,45.982759307788626,104.06783302099501,59.21110563074882,233.61322637123067,11.013131713867187
1AKT_3,Desulfovibrio vulgaris,FMN,https://doi.org/10.1021/bi973193k,-297.5,513.0472060616729,164.7450021905342,163.7428119535112,122.63697715171145,119.16046410797742,15.869223022460938,334.33272441331485,116.33037819687178,149.49326783482655,132.32294176825224,68.52263207045769,13.51640625,415.2827016121694,96.16720919322017,172.65425085446776,241.42193464602815,77.10896448025784,14.048928833007812,220.79210235708274,149.46569957150246,194.26823007187198,174.8370938601562,83.76546641467945,9.736663818359375,251.67342116296865,159.1189428941596,112.35990349509643,108.31621283907356,114.66869652997815,8.501095581054688,167.48912296971054,128.29535565286727,109.04923214147146,119.37482771688423,52.71451001792343,7.397613525390625,310.0637625872831,127.27678578054719,169.03089451013687,168.5046247827894,74.88875756550135,9.41405029296875,214.54679581916633,88.30204599787385,126.00777979530926,186.22482103389643,93.15530477219846,10.6591796875,307.6760444267434,163.3497466818149,126.49981895127405,100.64737804007677,82.50964729913647,13.630413818359376,311.9880186478779,108.31355344761937,97.07212985822122,148.6397813282395,41.5893456355451,6.948825073242188,507.0711416387211,67.10251039231235,215.29921755451664,157.59770916023484,48.219267075217715,8.03065185546875,159.54643106657966,116.90202246727688,103.01623596090496,134.51322667912888,78.62259213279282,7.977313232421875,387.0098525677167,183.17856759997613,123.47762785177537,121.66615588835401,138.5859748843473,9.292236328125,322.00988147280594,137.77750630621733,92.20516668319772,108.54990317353014,105.62477027760065,14.675527954101563
1AKW_4,Desulfovibrio vulgaris,FMN,https://doi.org/10.1021/bi973193k,-320.0,634.704328387219,92.04619784144944,113.14274516325179,181.64778888897246,393.6945662420409,32.313717651367185,520.7681115179757,91.37653544595031,180.37520866578387,206.12485948900087,343.5030300039499,27.82015380859375,596.1328565033368,127.35450665397019,131.6896103896732,141.72246315412133,459.37506579622635,43.551995849609376,541.8195460749992,108.16775897018891,217.20521056759162,92.32256999238626,437.927092897119,35.15308837890625,324.5966559561175,98.60889978102722,148.73745320129422,170.7990257014497,307.906763454118,11.39033203125,384.68080664455084,112.8752255077826,150.82493137361217,197.01825036155276,197.774031862514,16.42198486328125,571.9577177154363,133.5039048975529,269.0373469803828,293.5613383616019,200.36407648002438,13.679312133789063,729.14578448102,150.00857445475884,139.43314999824514,49.10535096655701,273.24092057269456,11.705154418945312,514.0092982891897,89.75558214822104,176.02696531355815,152.1491078784142,371.6635606667709,11.7114501953125,580.9039030512513,100.78312816731079,153.25386070373884,203.0268961503192,289.46734072156113,16.4937744140625,734.1594451420267,134.07875251554623,351.738430195933,307.01383616117994,255.74261017790963,14.7711669921875,943.5098932130827,170.75332548620253,125.07117899644447,185.091917284158,359.66118494967037,15.01805419921875,335.80755744164173,100.05794168860405,100.54802316813709,144.66570854677383,305.84633304090426,6.967440795898438,290.4716309164302,111.47701136388321,92.46554887502549,124.83564714379997,240.51919258850205,9.895443725585938
1AZL_5,Desulfovibrio vulgaris,FMN, https://doi.org/10.1016/j.bbapap.2008.11.026,-316.0,518.5077485089392,46.42806713604642,278.2828900587167,66.90481527978471,312.7680440074236,10.833404541015625,117.87004691439938,45.44712596045366,229.20465733717873,94.059822334292,200.04908748063383,15.760284423828125,653.5854436132508,64.29340502142782,387.4888288188789,157.24084024841187,312.8823221080595,37.47219390869141,260.97490617343925,68.4824539689086,255.8380880283666,89.31547840286447,299.99221093934796,15.383969116210938,358.1204990771911,76.73949356764848,311.489533213866,113.01758639725773,300.80953531390884,12.854248046875,217.76587952736674,82.24266427574099,299.77332910456977,135.85322734213236,178.41951354848987,14.30147705078125,375.563676140983,58.750108763167304,433.17465056034774,120.79158830086885,259.3715255847734,28.08382568359375,315.0450825460756,67.35813281905473,299.83264639315274,82.30336872546616,244.75906786645385,18.93878173828125,642.7170691574805,52.1081780587017,316.443974433616,72.87233978505014,262.4216782628072,18.796234130859375,306.1647468068478,84.32380438035773,270.71884206977586,129.20681293614177,245.872176647488,19.151535034179688,528.9595128121846,63.29912006321808,397.3264498143275,193.82530210461277,239.109431881643,29.19793701171875,371.44922294014873,112.46593914997186,290.82186429619173,136.43349007832046,281.97439826828327,17.609310913085938,353.4914916646987,59.230224099190934,330.0873047230281,120.22831359806679,275.4667010309946,17.083868408203124,360.2220615543402,57.70349164816491,289.49011817645226,48.98807283376891,198.6295201457566,24.403213500976562
1B1C_6,Homo sapiens (Human),FMN,https://doi.org/10.1111/j.1742-4658.2008.06597.x,-167.5,766.5584728546653,128.90000000000003,169.43369340472748,139.70246776955662,377.03900276273293,12.683302307128907,458.6305553049261,144.5143759226595,156.3367447551594,139.38024970717368,305.56682071711896,12.905386352539063,713.6656720459515,181.54164325198155,194.62118109259214,174.45464891465537,435.45859558611676,16.0599365234375,324.9759012536248,144.60847845403384,257.57638153222723,140.3762397588238,458.17028545812474,14.74041290283203,709.2584137477436,135.6596472495925,218.0764375553009,165.51826502191577,403.84222514201394,14.539593505859376,350.4453370569821,135.36975770198893,170.98489086069202,128.85902907610648,348.9813357610178,12.271788024902344,702.8326064603987,150.96112285648599,219.15691453974497,190.90965233426607,399.60512803111044,11.933058166503907,494.3398976101714,151.05237969537777,207.67104730712018,170.91088713140297,512.3234954439928,12.35956268310547,855.482225578512,137.6960287968864,203.4050848386429,176.55597405018776,380.0189003557665,15.331025695800781,525.3256360183653,147.04687196692686,157.58715256379526,145.3437852929211,431.6066292430172,8.587191772460937,723.115381620662,147.67914421308234,212.0134777946611,155.46715724897103,390.0222309528431,14.860287475585938,367.5735447968334,155.43675544612555,191.67961809323867,117.44047794438077,570.3189943844279,10.200967407226562,698.9314972509724,129.86666666666653,200.87551735118637,220.4026086901446,445.24036214891476,12.91405029296875,390.50035726746364,130.7985570447796,160.67374785510944,164.44491698079614,426.31542125538226,9.637712097167968
1B1C_7,Homo sapiens (Human),FMN,https://doi.org/10.1111/j.1742-4658.2008.06597.x,-167.5,637.8582761380248,101.76067903326015,121.6130760257202,122.51023265212118,375.4710306163164,8.499137878417969,466.35992761607883,113.41948519915783,117.66113752754043,129.14762351325675,307.50493238442846,7.527235412597657,714.0337339880746,109.24672368664977,143.40600706084484,197.8837835706033,437.68397187867834,7.313078308105469,260.6043442506321,100.50915075105874,152.22383646003118,157.83146333392222,579.5878784036208,7.123565673828125,488.0875657390974,89.54242424242418,112.82894129689188,158.49549917098224,436.4835714150649,11.603338623046875,137.09797611017956,107.21457789912628,117.058812370824,156.19504431392122,365.98360547747956,6.475157165527344,594.5524419889309,129.11857221823033,136.4386618953202,172.80804574185612,375.00174350686336,7.257945251464844,234.42384067941867,140.84557141255632,143.81151132098302,190.36130376791894,596.4447408894642,7.165461730957031,803.0573765523195,86.20909090909083,124.97929751421464,173.70663750517932,381.69547013937176,7.994793701171875,467.60647948503504,97.82649883475872,99.12253409936784,162.97547100940065,390.6206660284477,7.009797668457031,629.6338707287412,110.36015333771311,115.50324191113648,176.9267172581169,424.1638734372839,7.228314208984375,252.8832374619094,125.40809059165949,120.9904889469781,129.5273107727606,603.3203304989141,5.684220886230468,539.2534793825437,95.87948166099324,149.20952919291713,228.82652441947556,457.5371493843505,7.72728271484375,208.27903213191996,102.25961318565797,105.01711914661271,175.63701396682296,446.86251378871924,4.6223876953125
1B1C_8,Homo sapiens (Human),FMN,https://doi.org/10.1111/j.1742-4658.2008.06597.x,-187.5,461.6731899338625,89.77767898183072,41.5626544887113,63.26872634089821,177.82037439926316,11.811770629882812,262.928608213105,104.4242405655506,43.05914051257065,106.55987146617244,93.66694161959612,12.394715881347656,511.3877431108443,100.1674627923891,26.915425152746423,94.97643647713619,200.38309047510393,12.783340454101562,214.14261638136537,88.23831404472577,24.68852169371337,99.75069492074377,317.01789002424675,10.261674499511718,306.65617126502457,140.2379434508492,22.252262614384563,118.63653309728247,176.93826852798134,8.739762878417968,158.60426918695478,111.33985590215292,55.353956841266836,97.92289678196187,156.43460791428873,7.8244171142578125,445.1865093442827,114.96042887845724,103.70188946950171,119.24876189024022,174.1791930687498,6.962400817871094,229.27428399127703,96.31855993275497,74.97661278680664,149.26317150144732,332.53179019843344,7.122679138183594,503.6120884534021,93.93548617739111,29.976420082950654,115.1634752314155,164.05536098317512,10.894947814941407,301.991755954131,112.66375017070794,45.941681526636955,102.45248025441336,128.47182567705673,11.685238647460938,575.5189515354388,109.55278681439603,34.39659913195226,86.88801801110671,186.9612116742597,12.757138061523438,181.68266539411155,104.61825012972227,28.321753620296136,117.36021546210159,339.646882837682,7.77322998046875,469.9597303067002,100.55740435578579,90.94542492353855,139.11391011010528,238.22661576401555,6.542668151855469,189.65840149280157,96.10649178721107,27.70033865283503,115.5978808809657,191.6304488491767,7.054696655273437
1B1C_9,Homo sapiens (Human),FMN,https://doi.org/10.1111/j.1742-4658.2008.06597.x,-192.0,536.3679363557718,139.1720862539242,74.28983780188932,103.20591066803297,92.00437524362349,7.223707580566407,207.13202455347948,161.94841842867748,62.61693475505237,170.06448485226224,78.12364002309255,10.658978271484376,492.14540119223716,162.23553947686977,26.01938195185099,145.87031828969384,90.86668018888352,10.920384216308594,215.8661634666999,129.27400604609858,36.408690040836944,160.41231705440512,221.37354430153707,10.804606628417968,265.81777588567206,150.66883104400057,87.30205582885304,162.51545378052225,123.56694328555042,11.595297241210938,226.89917916439043,170.73893444611588,71.97266121451489,130.6912963828183,108.53951577972282,5.281221008300781,539.0243308883996,186.64585645262554,55.389648849100865,160.06754248066375,88.88423874555872,9.571061706542968,367.8220569985553,147.55281772292184,85.60773372094309,243.10694531580023,218.03329739551532,8.526507568359374,362.85384419160744,132.52901532472168,95.86348308895637,121.4688542298525,116.01398452106784,5.020254516601563,266.32182847162994,172.93842970988123,68.06943339771416,183.372235763149,138.47470340993303,8.98993377685547,508.60333990582603,176.0031092338179,34.98517096035596,127.43367546898642,87.66287956906896,11.431719970703124,151.9996891461773,165.79459972122996,46.334255628713606,193.24537109634556,269.9732956742023,8.930059814453125,418.32119779892287,130.15085782648964,102.57327566016667,131.97557752166142,134.11098928829438,7.948591613769532,220.07354392401086,174.09090909090912,44.72915764572534,166.01727581193592,165.7792349962644,8.966293334960938
